Date,Open,High,Low,Close,Change(Pips),Change(%)
03/07/2025 00:00,1.0787,1.08253,1.07811,1.0825,38,0.35,
03/06/2025 00:00,1.07875,1.08534,1.07661,1.07875,0.0,0.00,
03/05/2025 00:00,1.0623,1.07964,1.06021,1.07941,171.1,1.59,
03/04/2025 00:00,1.04857,1.06372,1.0471,1.06231,137.4,1.29,
03/03/2025 00:00,1.04154,1.05035,1.03887,1.04857,70.3,0.67,
02/28/2025 00:00,1.0397,1.04203,1.03599,1.03758,-21.2,-0.20,
02/27/2025 00:00,1.04801,1.04928,1.0397,1.03984,-81.7,-0.79,
02/26/2025 00:00,1.05123,1.05289,1.0475,1.0485,-27.3,-0.26,
02/25/2025 00:00,1.04639,1.05231,1.04561,1.05206,56.7,0.54,
02/24/2025 00:00,1.0474,1.05283,1.04527,1.04612,-12.8,-0.12,
02/23/2025 00:00,1.0471,1.0485,1.0459,1.04739,2.9,0.03,
02/21/2025 00:00,1.04937,1.05056,1.04492,1.04595,-34.2,-0.33,
02/20/2025 00:00,1.04207,1.05053,1.04184,1.05004,79.7,0.76,
02/19/2025 00:00,1.04483,1.04616,1.04007,1.04207,-27.6,-0.26,
02/18/2025 00:00,1.04762,1.04864,1.0435,1.04481,-28.1,-0.27,
02/17/2025 00:00,1.04888,1.05065,1.0467,1.0485,-3.8,-0.04,
02/16/2025 00:00,1.04848,1.04947,1.04835,1.04889,4.1,0.04,
02/14/2025 00:00,1.04617,1.05141,1.0447,1.04919,30.2,0.29,
02/13/2025 00:00,1.03754,1.04687,1.03738,1.04617,86.3,0.82,
02/12/2025 00:00,1.03639,1.04299,1.03166,1.03925,28.6,0.28,
02/11/2025 00:00,1.0302,1.03806,1.02919,1.03631,61.1,0.59,
02/10/2025 00:00,1.02853,1.03366,1.02793,1.03007,15.4,0.15,
02/09/2025 00:00,1.02853,1.03136,1.02793,1.03098,24.5,0.24,
02/07/2025 00:00,1.03816,1.04117,1.03054,1.03258,-55.8,-0.54,
02/06/2025 00:00,1.03999,1.04056,1.03522,1.03849,-15.0,-0.14,
